UPC,Item Name,Brand,Vendors,Vendor List,Min Price,Avg Price
8011003832286,"VERSACE Yellow Diamond Wom EDT (200ml)",N/A,18,"OniEssence; Heritage; Sanya; Nandansons; Fragrance Depot; Perfume Plus; Classic; Perfume Center; PWW; Premier; Aairie; Distributor; POTW; Fap; Perfumora; MTZ; Paris; Haz",46.4,52.00
3274872396197,"GIVENCHY  ANGE OU DEMON EDP 100ML",N/A,18,"Perfume Price; United; Luxury; TJS; Nandansons; Perfume Plus; Classic; PWW; ET; Premier; Aairie; Distributor; General; NYB; MTZ; Paris; Haz; POTW",49.5,55.71
8011003846627,"VERSACE Eros Flame Men EDP (200ml)",N/A,18,"Network; United; NYB; Montroyal; Perfume Price; Sanya; Fragrance Depot; Perfume Plus; Classic; Perfume Center; Nandansons; PWW; Premier; Gift Express; POTW; Fap; MTZ; Paris",53,57.50
3616302020652,"BURBERRY Goddess Wom EDP (100ml)",N/A,18,"NYB; Luxury; Montroyal; Perfume Price; Beauty Encounter; Nandansons; Classic; Awesome; Euro; ECScott; Aairie; Perfume Plus; POTW; General; Fap; MTZ; Mod; Paris",69,77.22
8411061083659,"CAROLINA H GOOD GIRL BLUSH ELIXIR EDP SP 2.7oz",NISHANE,18,"United; Luxury; Montroyal; Perfume Price; Nandansons; Fragrance Depot; Perfume Plus; Classic; MTZ; Awesome; Premier; Aairie; Distributor; POTW; General; Fap; Haz; Gift Express",85,94.22
7640111494027,"Parfums Gres Cabotine De Gres EDT for Women | 3.4 oz / 100 ml",Parfums Gres,17,"Nandansons; Source; Cosmo; POTW; Perfume Center; MTZ; Paris; Gift Express; Montroyal; BS; ET; Elegance; Classic; General; United; Heritage; Network",6.5,8.07
8002135139053,"Ferrari Scuderia Red M 4.2 edt spr",N/A,17,"Source; Luxury; Nandansons; Heritage; Perfume Center; Cosmo; Perfume Price; MTZ; Montroyal; PWW; BS; ET; Classic; French; Paris; Network; POTW",10.75,13.84
3605972342621,"Ralph Lauren Big Pony 1 Eau De Toilette for Men | 3.4 oz / 100 ml - Spray",RALPH LAUREN,17,"TJS; ABDiversified; Nandansons; United; Cosmo; NYB; MTZ; Fragrance Depot; Perfume Center; PWW; Perfume Price; BS; Classic; Aairie; Fragsense; Paris; POTW",13.5,18.33
88300150458,"Calvin Klein Obsession Night EDT for Men | 4 oz / 120 ml",N/A,17,"Source; Luxury; Nandansons; Heritage; Cosmo; NYB; Perfume Center; Haz; PWW; Perfume Price; BS; Classic; French; Paris; United; General; Gift Express",13.5,16.28
88300139507,"Calvin Klein Eternity Moment EDP for Women | 3.4 oz / 100 ml",N/A,17,"Aairie; Source; United; Luxury; Mod; Heritage; Cosmo; NYB; Distributor; Perfume Center; Perfume Distributors; Montroyal; PWW; ET; French; Nandansons; Gift Express",14.5,20.21
6291108735411,"Lattafa Asad Eau de Parfum 100ml",N/A,17,"Source; Nandansons; Mod; Heritage; NYB; MTZ; Montroyal; PWW; Perfume Price; Gift Express; Classic; French; Aairie; Paris; United; Perfumora; Network",14.5,16.42
3614225671333,"Calvin Klein Eternity Flame Eau De Parfum for Women | 3.4 oz / 100 ml - Spray",Calvin Klein,17,"TJS; Source; Nandansons; United; Heritage; Cosmo; NYB; MTZ; PWW; Perfume Price; Perfume Center; BS; Classic; Paris; Fap; Fragsense; General",15.25,20.30
608940553893,"Kenneth Cole Black EDT for Men | 3.4 oz / 100 ml",Kenneth Cole,17,"TJS; Source; Nandansons; Heritage; Premier; NYB; Cosmo; Montroyal; PWW; BS; Classic; Paris; United; Perfumora; Network; General; POTW",15.25,17.32
6291108737194,"LATTAFA KHAMRAH 3.4 EDP SPR (M)",N/A,17,"Source; United; Premier; NYB; MTZ; Montroyal; Nandansons; PWW; Fragrance Depot; Perfume Price; BS; Classic; Gift Express; French; Aairie; Perfumora; Network",16.5,18.62
6291108730515,"Lattafa Yara W 3.4 edp spr",Pacifica,17,"Source; Nandansons; Mod; Heritage; Premier; NYB; Montroyal; Fragrance Depot; Gift Express; Perfume Price; Classic; French; Aairie; Paris; United; MTZ; PWW",16.5,18.82
